"Index","Quantity","Part Number","Manufacturer Part Number","Description","Customer Reference","Available","Backorder","Unit Price","Extended Price USD"
"1","1","AE10984-ND","A-DS 25 LL/Z","CONN D-SUB PLUG 25POS SLDR CUP","","1","0","0.80000","0.80"
"2","1","956-25SPGE-ND","956-025-010R031","CONN BACKSHELL 25POS 180DEG GRAY","","1","0","0.85000","0.85"
"3","1","839-1429-ND","10-02333","CBL USB A PLUG-MCR B PLUG 1M BLK","","1","0","5.61000","5.61"
"4","3","CAY16-101J4LFCT-ND","CAY16-101J4LF","RES ARRAY 4 RES 100 OHM 1206","","3","0","0.10000","0.30"
"5","2","732-8045-1-ND","885012207045","CAP CER 0.1UF 16V X7R 0805","","2","0","0.10000","0.20"
"6","1","768-1011-1-ND","FT245RL-REEL","IC USB TO PARALLEL FIFO 28-SSOP","","1","0","4.70000","4.70"
"7","1","541-4131-1-ND","CRCW08054K70FKEAC","RES SMD 4.7K OHM 1% 1/8W 0805","","1","0","0.10000","0.10"
"8","1","490-14466-1-ND","GRM21BR71C475KE51L","CAP CER 4.7UF 16V X7R 0805","","1","0","0.20000","0.20"
"9","1","732-8039-1-ND","885012207039","CAP CER 10000PF 16V X7R 0805","","1","0","0.10000","0.10"
"10","1","MH2029-400YCT-ND","MH2029-400Y","FERRITE BEAD 40 OHM 0805 1LN","","1","0","0.10000","0.10"
"11","1","2073-USB3155-30-ACT-ND","USB3155-30-A","MICRO B SKT, HORIZONTAL MID SMT,","","1","0","0.76000","0.76"